Salesperson,ProductClass,Year,Month,Invoice,QtyInvoiced,NetSalesValue,TargetSales,CustomerClass
SM-SC,DVG,2023,1,10000006,1.0,32.0,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000006,6.0,316.8,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000006,4.0,128.0,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000006,10.0,130.0,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000006,5.0,58.0,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000006,15.0,121.5,276849.2018,CTRD-KA
SM-JW,TEA,2023,1,10000007,3.0,456.45,3391.675,CTRD-HRC
SM-JW,DVG,2023,1,10000007,3.0,90.0,387911.0545,CTRD-HRC
SM-JW,DVG,2023,1,10000007,3.0,90.0,387911.0545,CTRD-HRC
SM-JW,TEA,2023,1,10000008,2.0,304.3,3391.675,CTRD-HRC
SM-JW,TEA,2023,1,10000008,1.0,152.12,3391.675,CTRD-HRC
SM-JL,DVG,2023,1,10000009,5.0,243.75,334839.4709,CTRD-SD
SM-JL,DVG,2023,1,10000009,5.0,213.75,334839.4709,CTRD-SD
SM-SH,DVG,2023,1,10000010,1.0,38.4,277336.6064,CTRD-HRC
SM-SH,DVG,2023,1,10000010,1.0,47.0,277336.6064,CTRD-HRC
SM-SH,DVG,2023,1,10000010,1.0,53.0,277336.6064,CTRD-HRC
SM-SH,TEA,2023,1,10000010,1.0,179.0,6134.5,CTRD-HRC
SM-SH,TEA,2023,1,10000011,1.0,128.0,6134.5,CTRD-HRC
SM-JL,DVG,2023,1,10000014,18.0,540.0,334839.4709,CTRD-SD
SM-JL,DVG,2023,1,10000014,5.0,150.0,334839.4709,CTRD-SD
SM-JL,DVG,2023,1,10000014,5.0,150.0,334839.4709,CTRD-SD
SM-JL,DVG,2023,1,10000014,6.0,256.5,334839.4709,CTRD-SD
SM-JL,DVG,2023,1,10000014,3.0,146.25,334839.4709,CTRD-SD
SM-JL,TEA,2023,1,10000014,4.0,608.6,49211.125,CTRD-SD
SM-JL,DVG,2023,1,10000015,10.0,400.0,334839.4709,CTRD-HRC
SM-JL,DVG,2023,1,10000015,3.0,120.0,334839.4709,CTRD-HRC
SM-JL,DVG,2023,1,10000015,3.0,120.0,334839.4709,CTRD-HRC
SM-JL,DVG,2023,1,10000015,3.0,120.0,334839.4709,CTRD-HRC
SM-JL,DVG,2023,1,10000015,3.0,120.0,334839.4709,CTRD-HRC
SM-JL,DVG,2023,1,10000015,3.0,120.0,334839.4709,CTRD-HRC
SM-JL,DVG,2023,1,10000015,3.0,156.0,334839.4709,CTRD-HRC
SM-JL,DVG,2023,1,10000015,4.0,192.0,334839.4709,CTRD-HRC
SM-SC,TEA,2023,1,10000016,1.0,150.0,33564.625,CTRD-HRC
SM-SC,TEA,2023,1,10000016,1.0,210.0,33564.625,CTRD-HRC
SM-SC,TEA,2023,1,10000016,2.0,78.0,33564.625,CTRD-HRC
SM-SC,TEA,2023,1,10000017,6.0,210.0,33564.625,CTRD-HRC
SM-JW,DVG,2023,1,10000018,12.0,444.0,387911.0545,CTRD-HRC
SM-JW,DVG,2023,1,10000019,18.0,882.0,387911.0545,CTRD-KA
SM-SC,DVG,2023,1,10000020,1.0,38.85,276849.2018,CTRD-HRC
SM-SC,DVG,2023,1,10000020,1.0,38.85,276849.2018,CTRD-HRC
SM-SC,DVG,2023,1,10000020,1.0,38.85,276849.2018,CTRD-HRC
SM-SC,DVG,2023,1,10000020,1.0,38.85,276849.2018,CTRD-HRC
SM-SC,DVG,2023,1,10000020,1.0,53.0,276849.2018,CTRD-HRC
SM-SC,TEA,2023,1,10000020,2.0,230.0,33564.625,CTRD-HRC
SM-SC,TEA,2023,1,10000020,1.0,105.0,33564.625,CTRD-HRC
SM-SC,DVG,2023,1,10000020,1.0,38.85,276849.2018,CTRD-HRC
SM-SC,TEA,2023,1,10000020,1.0,115.0,33564.625,CTRD-HRC
SM-SC,TEA,2023,1,10000020,1.0,120.0,33564.625,CTRD-HRC
SM-SC,TEA,2023,1,10000020,6.0,180.0,33564.625,CTRD-HRC
SM-SC,TEA,2023,1,10000020,6.0,210.0,33564.625,CTRD-HRC
SM-SC,TEA,2023,1,10000020,6.0,180.0,33564.625,CTRD-HRC
SM-SC,DVG,2023,1,10000020,1.0,58.0,276849.2018,CTRD-HRC
SM-SC,TEA,2023,1,10000020,6.0,180.0,33564.625,CTRD-HRC
SM-JW,DVG,2023,1,10000021,36.0,1008.0,387911.0545,CTRD-KA
SM-JW,DVG,2023,1,10000021,12.0,444.0,387911.0545,CTRD-KA
SM-SC,DVG,2023,1,10000022,1.0,11.0,276849.2018,CTRD-KA
SM-SC,TEA,2023,1,10000023,4.0,716.0,33564.625,CTRD-KA
SM-SC,DVG,2023,1,10000024,3.0,120.0,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000024,8.0,384.0,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000025,2.0,83.2,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000025,3.0,136.8,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000025,3.0,115.2,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000025,2.0,110.4,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000025,1.0,43.2,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000025,1.0,52.0,276849.2018,CTRD-KA
